iter	Passed	Remaining
150	2686	15106
151	2700	15068
152	2714	15029
153	2728	14988
154	2740	14937
155	2752	14889
156	2763	14840
157	2775	14790
158	2796	14792
159	2813	14770
160	2830	14752
161	2843	14708
162	2853	14652
163	2865	14605
164	2877	14560
165	2886	14501
166	2896	14447
167	2908	14402
168	2917	14348
169	2929	14301
170	2940	14257
171	2952	14215
172	2962	14163
173	2973	14113
174	2982	14059
175	2992	14010
176	3003	13965
177	3012	13911
178	3026	13880
179	3042	13858
180	3055	13825
181	3067	13787
182	3079	13748
183	3089	13700
184	3098	13649
185	3110	13611
186	3119	13563
187	3131	13525
188	3143	13487
189	3153	13442
190	3163	13399
191	3174	13360
192	3183	13312
193	3199	13292
194	3210	13252
195	3221	13215
196	3231	13172
197	3244	13141
198	3259	13118
199	3282	13130
200	3293	13092
201	3304	13055
202	3320	13035
203	3331	12997
204	3342	12961
205	3353	12927
206	3364	12888
207	3375	12854
208	3386	12817
209	3396	12776
210	3407	12741
211	3418	12704
212	3425	12656
213	3438	12629
214	3458	12628
215	3476	12619
216	3488	12589
217	3500	12556
218	3519	12551
219	3531	12521
220	3541	12484
221	3553	12454
222	3564	12420
223	3575	12387
224	3589	12364
225	3600	12331
226	3609	12292
227	3620	12258
228	3631	12225
229	3640	12188
230	3652	12160
231	3664	12129
232	3678	12110
233	3692	12086
234	3702	12053
235	3714	12025
236	3729	12005
237	3739	11973
238	3766	11992
239	3778	11964
240	3787	11928
241	3798	11897
242	3809	11867
243	3818	11832
244	3829	11801
245	3839	11768
246	3849	11735
247	3861	11708
248	3874	11686
249	3891	11673
250	3900	11640
251	3911	11609
252	3922	11581
253	3931	11545
254	3942	11517
255	3950	11482
256	3964	11462
257	3980	11448
258	3992	11421
259	4001	11389
260	4023	11391
261	4032	11359
262	4044	11333
263	4055	11307
264	4065	11275
265	4076	11249
266	4089	11227
267	4105	11213
268	4120	11196
269	4129	11165
270	4141	11141
271	4153	11116
272	4163	11087
273	4173	11059
274	4185	11033
275	4195	11005
276	4206	10979
277	4217	10953
278	4226	10923
279	4237	10896
280	4247	10867
281	4269	10871
282	4278	10841
283	4290	10816
284	4302	10794
285	4352	10866
286	4364	10844
287	4377	10822
288	4388	10795
289	4400	10774
290	4412	10750
291	4421	10721
292	4432	10696
293	4442	10667
294	4452	10640
295	4463	10616
296	4473	10588
297	4484	10563
298	4495	10538
299	4523	10555
300	4544	10552
301	4553	10524
302	4565	10501
303	4576	10477
304	4585	10449
305	4597	10427
306	4608	10402
307	4620	10380
308	4631	10356
309	4642	10332
310	4651	10304
311	4661	10279
312	4670	10252
313	4681	10227
314	4692	10204
315	4703	10181
316	4716	10161
317	4727	10137
318	4739	10117
319	4769	10136
320	4781	10113
321	4793	10092
322	4804	10069
323	4813	10043
324	4826	10023
325	4838	10002
326	4847	9976
327	4858	9953
328	4868	9928
329	4878	9904
330	4888	9881
331	4898	9855
332	4909	9834
333	4920	9812
334	4931	9788
335	4941	9765
336	4953	9745
337	4963	9721
338	4979	9708
339	5004	9713
340	5013	9688
341	5026	9670
342	5037	9649
343	5046	9623
344	5056	9600
345	5067	9578
346	5077	9554
347	5088	9533
348	5099	9513
349	5109	9489
350	5122	9471
351	5133	9450
352	5142	9425
353	5153	9404
354	5164	9383
355	5177	9365
356	5192	9352
357	5205	9334
358	5218	9318
359	5232	9302
360	5251	9296
361	5263	9276
362	5273	9253
363	5283	9231
364	5294	9211
365	5306	9191
366	5319	9175
367	5330	9154
368	5340	9131
369	5350	9110
370	5361	9089
371	5371	9068
372	5385	9052
373	5400	9038
374	5413	9022
375	5425	9003
376	5435	8981
377	5446	8961
378	5455	8939
379	5466	8918
380	5476	8898
381	5497	8893
382	5508	8873
383	5518	8851
384	5530	8834
385	5541	8814
386	5550	8791
387	5565	8779
388	5577	8760
389	5590	8744
390	5604	8729
391	5615	8709
392	5627	8692
393	5638	8672
394	5648	8651
395	5658	8631
396	5669	8610
397	5679	8590
398	5690	8570
399	5700	8550
400	5711	8531
401	5732	8527
402	5743	8508
403	5754	8488
404	5763	8467
405	5774	8447
406	5785	8428
407	5794	8407
408	5810	8396
409	5825	8382
410	5838	8367
411	5850	8349
412	5859	8328
413	5869	8308
414	5879	8287
415	5889	8267
416	5900	8249
417	5909	8228
418	5921	8210
419	5932	8192
420	5943	8173
421	5957	8159
422	5981	8158
423	5991	8139
424	6005	8124
425	6020	8112
426	6033	8096
427	6043	8076
428	6052	8056
429	6064	8038
430	6073	8018
431	6083	7999
432	6096	7983
433	6105	7962
434	6115	7943
435	6127	7926
436	6139	7909
437	6150	7891
438	6160	7872
439	6169	7852
440	6181	7836
441	6192	7818
442	6202	7798
443	6212	7780
444	6302	7859
445	6321	7851
446	6345	7850
447	6367	7846
448	6390	7841
449	6420	7847
450	6433	7831
451	6449	7818
452	6472	7816
453	6485	7799
454	6497	7782
455	6508	7765
456	6518	7745
457	6529	7727
458	6538	7707
459	6551	7690
460	6562	7672
461	6571	7652
462	6582	7634
463	6593	7617
464	6602	7596
465	6613	7578
466	6625	7561
467	6634	7541
468	6652	7531
469	6664	7515
470	6678	7500
471	6690	7483
472	6710	7476
473	6721	7458
474	6730	7439
475	6741	7420
476	6750	7401
477	6766	7389
478	6778	7372
479	6788	7354
480	6797	7334
481	6808	7317
482	6819	7300
483	6829	7280
484	6840	7264
485	6852	7247
486	6867	7234
487	6880	7218
488	6891	7201
489	6904	7186
490	6914	7167
491	6925	7150
492	6936	7133
493	6958	7127
494	6970	7110
495	6979	7092
496	6990	7074
497	7001	7057
498	7010	7038
499	7020	7020
500	7031	7003
501	7041	6984
502	7053	6969
503	7064	6952
504	7080	6940
505	7093	6925
506	7104	6908
507	7115	6891
508	7130	6877
509	7139	6859
510	7154	6846
511	7166	6830
512	7178	6814
513	7188	6796
514	7206	6786
515	7217	6770
516	7228	6753
517	7238	6735
518	7249	6718
519	7259	6700
520	7271	6684
521	7286	6672
522	7300	6658
523	7313	6643
524	7323	6625
525	7334	6609
526	7345	6593
527	7356	6576
528	7367	6559
529	7377	6542
530	7387	6525
531	7398	6508
532	7409	6491
533	7419	6474
534	7430	6458
535	7441	6441
536	7462	6434
537	7478	6422
538	7497	6412
539	7514	6400
540	7526	6386
541	7537	6369
542	7552	6356
543	7562	6339
544	7574	6323
545	7587	6308
546	7596	6290
547	7609	6276
548	7620	6260
549	7630	6243
550	7640	6226
551	7651	6210
552	7661	6192
553	7675	6179
554	7710	6181
555	7723	6167
556	7737	6153
557	7747	6136
558	7757	6120
559	7769	6104
560	7778	6087
561	7791	6072
562	7802	6056
563	7812	6039
564	7823	6023
565	7834	6007
566	7844	5990
567	7854	5974
568	7866	5958
569	7876	5941
570	7889	5927
571	7903	5914
572	7918	5900
573	7931	5886
574	7952	5878
575	7966	5864
576	7977	5848
577	7990	5833
578	8003	5819
579	8014	5803
580	8024	5786
581	8034	5770
582	8046	5755
583	8056	5738
584	8067	5723
585	8078	5707
586	8093	5694
587	8105	5679
588	8121	5667
589	8134	5653
590	8147	5638
591	8158	5622
592	8168	5606
593	8179	5590
594	8201	5582
595	8213	5567
596	8224	5552
597	8234	5535
598	8245	5519
599	8256	5504
600	8266	5488
601	8277	5472
602	8286	5455
603	8299	5441
604	8310	5426
605	8321	5410
606	8333	5395
607	8347	5382
608	8363	5369
609	8377	5356
610	8388	5340
611	8399	5325
612	8410	5309
613	8422	5294
614	8441	5284
615	8451	5268
616	8461	5252
617	8472	5236
618	8482	5220
619	8494	5206
620	8505	5190
621	8517	5176
622	8526	5159
623	8543	5148
624	8555	5133
625	8567	5118
626	8577	5102
627	8588	5087
628	8597	5070
629	8609	5056
630	8620	5040
631	8630	5025
632	8640	5009
633	8651	4994
634	8660	4978
635	8671	4962
636	8733	4976
637	8742	4960
638	8765	4952
639	8775	4936
640	8787	4921
641	8799	4906
642	8809	4891
643	8820	4876
644	8831	4860
645	8841	4844
646	8851	4829
647	8863	4814
648	8871	4798
649	8882	4782
650	8893	4768
651	8905	4753
652	8928	4744
653	8938	4729
654	8952	4715
655	8967	4702
656	8978	4687
657	8988	4671
658	8999	4656
659	9011	4642
660	9021	4626
661	9032	4611
662	9046	4598
663	9056	4582
664	9066	4567
665	9077	4552
666	9086	4536
667	9097	4521
668	9109	4507
669	9121	4492
670	9130	4476
671	9146	4464
672	9157	4449
673	9181	4440
674	9194	4426
675	9205	4412
676	9215	4396
677	9228	4382
678	9239	4367
679	9248	4352
680	9259	4337
681	9270	4322
682	9279	4306
683	9290	4291
684	9300	4276
685	9309	4261
686	9321	4246
687	9332	4232
688	9341	4216
689	9353	4202
690	9364	4187
691	9377	4173
692	9390	4160
693	9402	4145
694	9424	4135
695	9435	4121
696	9445	4106
697	9455	4090
698	9465	4076
699	9475	4060
700	9485	4046
701	9496	4031
702	9505	4016
703	9516	4001
704	9533	3989
705	9544	3974
706	9554	3959
707	9566	3945
708	9577	3931
709	9594	3918
710	9604	3903
711	9616	3889
712	9629	3876
713	9639	3861
714	9649	3846
715	9669	3835
716	9679	3820
717	9691	3806
718	9700	3790
719	9711	3776
720	9721	3761
721	9733	3747
722	9744	3733
723	9756	3719
724	9766	3704
725	9777	3690
726	9791	3676
727	9807	3664
728	9816	3649
729	9828	3635
730	9839	3620
731	9851	3606
732	9862	3592
733	9873	3578
734	9882	3563
735	9893	3548
736	9912	3537
737	9925	3523
738	9940	3510
739	9950	3496
740	9961	3481
741	9972	3467
742	9985	3454
743	10001	3441
744	10012	3426
745	10023	3412
746	10034	3398
747	10044	3384
748	10057	3370
749	10067	3355
750	10077	3341
751	10088	3327
752	10099	3312
753	10109	3298
754	10120	3284
755	10129	3269
756	10139	3254
757	10162	3244
758	10173	3230
759	10186	3216
760	10194	3201
761	10209	3188
762	10221	3175
763	10233	3161
764	10242	3146
765	10254	3132
766	10265	3118
767	10275	3103
768	10285	3089
769	10296	3075
770	10306	3061
771	10321	3048
772	10331	3034
773	10341	3019
774	10351	3005
775	10363	2991
776	10374	2977
777	10384	2963
778	10407	2952
779	10420	2939
780	10432	2925
781	10443	2911
782	10453	2896
783	10465	2883
784	10476	2869
785	10485	2854
786	10496	2840
787	10508	2827
788	10517	2812
789	10528	2798
790	10539	2784
791	10548	2770
792	10560	2756
793	10573	2743
794	10583	2729
795	10594	2715
796	10607	2701
797	10623	2689
798	10644	2677
799	10656	2664
800	10665	2649
801	10678	2636
802	10689	2622
803	10705	2609
804	10714	2595
805	10725	2581
806	10737	2567
807	10746	2553
808	10757	2539
809	10768	2525
810	10778	2511
811	10789	2498
812	10801	2484
813	10816	2471
814	10826	2457
815	10839	2444
816	10850	2430
817	10860	2416
818	10872	2402
819	10891	2390
820	10902	2377
821	10911	2362
822	10921	2348
823	10932	2335
824	10941	2320
825	10955	2307
826	10966	2294
827	10975	2280
828	10989	2266
829	10999	2253
830	11016	2240
831	11028	2227
832	11037	2212
833	11048	2199
834	11058	2185
835	11068	2171
836	11082	2158
837	11097	2145
838	11106	2131
839	11116	2117
840	11136	2105
841	11148	2091
842	11159	2078
843	11168	2064
844	11180	2050
845	11192	2037
846	11202	2023
847	11218	2010
848	11231	1997
849	11243	1984
850	11253	1970
851	11263	1956
852	11275	1943
853	11284	1929
854	11297	1916
855	11308	1902
856	11318	1888
857	11329	1874
858	11339	1861
859	11348	1847
860	11359	1833
861	11378	1821
862	11391	1808
863	11402	1794
864	11415	1781
865	11429	1768
866	11440	1755
867	11450	1741
868	11460	1727
869	11474	1714
870	11487	1701
871	11496	1687
872	11509	1674
873	11520	1660
874	11529	1647
875	11539	1633
876	11550	1620
877	11560	1606
878	11570	1592
879	11580	1579
880	11591	1565
881	11604	1552
882	11636	1541
883	11650	1528
884	11663	1515
885	11673	1501
886	11685	1488
887	11694	1475
888	11706	1461
889	11717	1448
890	11726	1434
891	11736	1421
892	11747	1407
893	11756	1393
894	11767	1380
895	11777	1367
896	11787	1353
897	11800	1340
898	11814	1327
899	11828	1314
900	11838	1300
901	11849	1287
902	11873	1275
903	11884	1262
904	11895	1248
905	11907	1235
906	11918	1222
907	11928	1208
908	11938	1195
909	11948	1181
910	11959	1168
911	11969	1154
912	11980	1141
913	11991	1128
914	12000	1114
915	12014	1101
916	12028	1088
917	12043	1075
918	12053	1062
919	12063	1049
920	12074	1035
921	12083	1022
922	12093	1008
923	12114	996
924	12126	983
925	12137	969
926	12146	956
927	12157	943
928	12169	930
929	12178	916
930	12189	903
931	12200	890
932	12210	876
933	12221	863
934	12234	850
935	12246	837
936	12261	824
937	12274	811
938	12288	798
939	12299	785
940	12310	771
941	12322	758
942	12333	745
943	12342	732
944	12361	719
945	12372	706
946	12382	693
947	12391	679
948	12402	666
949	12414	653
950	12424	640
951	12436	627
952	12448	613
953	12457	600
954	12473	587
955	12486	574
956	12498	561
957	12515	548
958	12531	535
959	12543	522
960	12554	509
961	12567	496
962	12578	483
963	12588	470
964	12610	457
965	12619	444
966	12632	431
967	12643	417
968	12652	404
969	12668	391
970	12682	378
971	12697	365
972	12709	352
973	12718	339
974	12732	326
975	12743	313
976	12752	300
977	12762	287
978	12773	273
979	12783	260
980	12794	247
981	12805	234
982	12815	221
983	12825	208
984	12835	195
985	12859	182
986	12869	169
987	12880	156
988	12891	143
989	12905	130
990	12915	117
991	12928	104
992	12939	91
993	12951	78
994	12960	65
995	12971	52
996	12980	39
997	12990	26
998	13002	13
999	13010	0
